test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.66	0.52	20.2651858045162	75.369906527128	46.26	5
0.67	0.52	22.2631784473409	78.5583318274869	45.73	5
0.68	0.52	20.375914977039	77.2792714315112	46.16	5
0.69	0.52	21.2031268313579	78.1706863694066	45.49	5
0.7	0.52	21.2617610638579	78.3829752832487	44.35	5
0.71	0.52	22.7105056828357	Inf	44.69	5
0.72	0.52	19.5741664649569	Inf	43.98	5
0.73	0.52	23.9508659312322	Inf	43.25	5
0.74	0.52	21.6533029106127	Inf	42.49	5
0.75	0.52	23.8478624336174	Inf	41.26	5
0.76	0.52	20.2041133176674	Inf	41.39	5
0.77	0.52	21.9313878717216	Inf	40.82	5
0.78	0.52	21.515449893584	81.1716341554967	40.11	5
0.79	0.52	26.53867390288	Inf	39.43	5
0.8	0.52	24.4789542931892	Inf	38.86	5
0.81	0.52	23.75854134692	Inf	37.8	5
0.82	0.52	27.3550605984084	Inf	37.44	5
0.83	0.52	30.2908300314922	Inf	35.34	5
0.84	0.52	27.4197491760519	Inf	33.83	5
0.85	0.52	30.5176519528595	Inf	33.16	5
0.86	0.52	25.6993038264314	Inf	31.64	5
0.87	0.52	30.5879960148179	Inf	31.03	5
0.88	0.52	30.6756572408318	Inf	28.79	5
0.89	0.52	30.5179377647935	Inf	27.04	5
0.9	0.52	34.0252054456675	Inf	25.5	5
0.91	0.52	29.909062359514	Inf	24.41	5
0.92	0.52	39.7665091297364	Inf	22.31	5
0.93	0.52	38.235245750294	Inf	20.24	5
0.94	0.52	41.6776318377507	Inf	17.23	5
0.95	0.52	41.5184967857321	Inf	15.17	5
0.96	0.52	43.9805393707805	Inf	12.6	5
0.97	0.52	52.5399168788802	Inf	10.21	5
0.98	0.52	54.1896871855743	Inf	6.78	5
0.99	0.52	Inf	Inf	3.73	5
0.51	0.53	16.9778649767256	69.2511813526279	48.8	5
0.52	0.53	19.0044052286163	72.0990883870875	48.51	5
0.53	0.53	17.5412821341272	73.7424182306688	48.75	5
0.54	0.53	17.6011620620884	Inf	48.79	5
0.55	0.53	15.9425123021514	73.0933189075136	48.5	5
0.56	0.53	19.6617736617862	70.8051269562698	48.31	5
0.57	0.53	20.4018495527349	71.9043952447416	49.03	5
0.58	0.53	19.852818094032	71.5589336074606	48.25	5
0.59	0.53	19.398377565574	73.2672779236817	47.76	5
0.6	0.53	20.0606301119785	73.2225936639028	47.93	5
0.61	0.53	18.9679554455424	74.6916067903888	48.32	5
0.62	0.53	17.9174336704891	Inf	47.13	5
