test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.55	0.61	13.2476944039959	75.6991189051473	48	9.7
0.57	0.61	21.3455214230142	72.9271506912424	48.8	9
0.59	0.61	12.923095861406	70.9956707898523	47	7.2
0.61	0.61	19.8297150184285	68.9102961806973	49	8.4
0.63	0.61	15.1828772156933	74.981412015755	45.5	8.5
0.65	0.61	20.8774761933757	77.5576574729338	46.8	8
0.67	0.61	18.7989734844017	71.7885732850952	45.4	7.4
0.69	0.61	21.9166972666233	75.030867380049	45.2	5.7
0.71	0.61	22.7804332230115	71.3906462664611	48.4	6.2
0.73	0.61	21.1907631664401	80.7637589013642	46.3	5.4
0.75	0.61	22.6080956671365	81.8978646843057	41.8	4.8
0.77	0.61	20.1464539346078	77.5430740690692	40.6	4.6
0.79	0.61	24.6083258733608	75.3916935019712	41.3	4.5
0.81	0.61	26.571483921496	76.0988796464158	38.6	4.3
0.83	0.61	24.266707704452	Inf	37.5	2.9
0.85	0.61	28.0925666031714	81.3178293519339	37.9	4.1
0.87	0.61	19.1918728800482	81.0402815776876	33.9	2.5
0.89	0.61	37.9564704068357	Inf	29.7	1
0.91	0.61	25.5939746073662	Inf	28	1.5
0.93	0.61	33.8156169120057	Inf	22.7	0.8
0.95	0.61	39.7877109521229	Inf	16.2	0.4
0.97	0.61	54.0601468539616	Inf	9.9	0.1
0.99	0.61	62.3911166144534	Inf	5.4	0.1
0.51	0.63	15.1182227588055	75.1676556659552	43.9	9.3
0.53	0.63	15.1748050952477	71.3903982966	49	10
0.55	0.63	13.1139775888248	67.3945144384988	43.8	9.5
0.57	0.63	17.8049919252988	70.3809448704562	47.3	8.4
0.59	0.63	12.8260711431271	66.022337033536	48.8	9.3
0.61	0.63	18.2013343128334	66.2926365417201	49.2	9.2
0.63	0.63	20.5731881999941	67.4624985366436	46.8	7.6
0.65	0.63	17.132902426825	74.9106113373194	47.4	6.3
0.67	0.63	19.0084576798273	76.5511324972458	45.5	8.1
0.69	0.63	18.1615259990961	67.6561524310583	49.3	7.8
0.71	0.63	27.7425788238376	74.3447235349648	43.8	6.3
0.73	0.63	20.654484201021	76.7093409011815	43.3	7.5
0.75	0.63	21.8787180884844	Inf	44.4	4.6
0.77	0.63	19.629492648809	78.6189758998976	43.8	5.8
0.79	0.63	17.9155295503168	76.2472454243906	42.6	5.5
0.81	0.63	32.0720335842137	81.742256867612	39	4.6
0.83	0.63	18.0120327423208	Inf	37	3
0.85	0.63	25.5031171416029	84.0978948692863	37	2.9
0.87	0.63	22.6862919719734	Inf	31.6	2.2
0.89	0.63	35.5086196110208	Inf	32.2	1.8
0.91	0.63	34.6286154161482	Inf	27.1	1.9
0.93	0.63	38.1199080050564	88.0573268709583	23.6	1.8
0.95	0.63	34.2291539129618	Inf	18.1	0.7
0.97	0.63	43.6127586783873	Inf	12.2	0.7
0.99	0.63	68.9000313192788	Inf	4.4	0.1
0.51	0.65	14.977558150307	67.4969638443422	46.3	10.9
0.53	0.65	14.7305408492623	70.5564646386084	46.1	9.5
0.55	0.65	22.6192855078092	67.5235016350536	50.1	9.3
0.57	0.65	18.2361275212985	69.8309532034083	45.5	9.6
0.59	0.65	15.0908902260777	67.0772756099459	47.7	9.8
0.61	0.65	22.5294072530114	69.651992388411	47.1	8.3
0.63	0.65	18.6331813102375	67.3757113232432	47.5	8.1
0.65	0.65	11.0040628801349	70.7158406950009	47.9	6.7
0.67	0.65	12.9055286195226	65.0877676897632	46.9	7.3
0.69	0.65	19.108555640006	73.540035157364	46.3	6.5
0.71	0.65	27.8930848779897	73.3464098310986	47.4	7.6
0.73	0.65	21.1309875208764	72.1729732329668	45.3	5.9
0.75	0.65	22.2802114920065	73.341138754778	44.4	5.3
0.77	0.65	8.74900080912279	74.3528476555803	45.3	5.9
0.79	0.65	19.8895084311008	71.5755101209197	42.7	5.6
0.81	0.65	25.0979514115224	77.2071237292213	41.8	4.9
0.83	0.65	22.4225276006154	82.6470313988453	40.3	3.7
0.85	0.65	21.0141599014296	81.8835733395005	37.8	4.3
0.87	0.65	24.1375701471011	83.3086423129947	34.2	3.5
0.89	0.65	24.7427014177025	89.8904229433715	33.3	2.5
0.91	0.65	28.3290979660367	Inf	26.7	1.3
0.93	0.65	32.2977650962533	Inf	24.5	1.8
0.95	0.65	47.3554237815303	Inf	19.2	0.8
0.97	0.65	54.0756526034865	Inf	10.2	0.4
0.99	0.65	65.9835672611876	Inf	4.2	0
0.51	0.67	14.0478863129278	51.5857385662207	45.6	10.8
0.53	0.67	16.0008684371056	68.3371213486552	46.6	11.3
0.55	0.67	10.5886501774889	66.658979084174	43.7	9.9
0.57	0.67	8.4975434538662	66.3298002126431	43.8	9.4
0.59	0.67	16.1722019050211	67.9410740159903	47.7	10.8
0.61	0.67	13.2222924171323	60.066405426443	48.4	10.2
0.63	0.67	16.3484870207747	64.7408029667941	46.3	8.7
0.65	0.67	21.0736479476018	75.0127599259728	47.6	8.4
0.67	0.67	21.1382433384964	71.7185170562085	43.1	9.7
0.69	0.67	23.9794241777035	72.2828061543186	47.4	8
0.71	0.67	16.8714058742781	71.8940865139206	47.4	7.7
0.73	0.67	19.8107035681292	65.9468913094416	46.6	8.5
0.75	0.67	18.2196208969049	74.4898074421339	44.2	6.5
0.77	0.67	15.3806960872539	71.9886278026292	44.1	5.5
0.79	0.67	20.7178212235787	79.3284714849891	40.9	5.7
0.81	0.67	25.3988309825556	85.6276517341706	42.3	4
0.83	0.67	19.1573949655358	79.1079657742023	39.2	4.3
0.85	0.67	25.6008615247348	84.050445647577	39.2	3.6
0.87	0.67	25.3758387649131	84.8086465450441	35.8	3.4
0.89	0.67	21.6705531724445	88.1357640073813	31.4	2.3
