trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
K02915	-2.31198343074376e-06	-0.000275502963914233	-28.1385278474328	0.951488460516669	2606.279362	3114.376565	4	4	3291, 3354, 3494, 4081	3772.331227, 2606.279362, 3305.816672, 2922.936458
K02914	-0.000457681570858713	-0.00032174999682312	-498.242897593493	0.998914996554116	938.933978	3842.1379875	60	3	2474, 4433, 4499	938.933978, 2777.979482, 3028.559449
K00228	-5.92333377714384e-05	-0.000164290838135312	-183.478751768912	0.999947286708392	2121.156963	3544.3938765	20	7	2483, 3353, 3535, 3742, 4138, 4327, 4433	2175.24293, 2121.156963, 3096.35372, 3547.431514, 3987.810746, 3176.304547, 2777.979482
K00226	-0.000522529694355421	-9.49228784477975e-05	-196.081763188069	0.997517273148818	938.933978	3710.458198	53	2	2474, 4399	938.933978, 1903.089273
K00224	-6.03275652846374e-05	-0.00260369752784344	-147.005275500122	0.998978987421665	938.933978	3532.3642085	114	2	2474, 4399	938.933978, 1903.089273
K00221	-5.8467475626413e-05	-0.00447082851676286	-102.408104874534	0.998999990149342	1416.658921	3681.684442	162	3	2475, 4401, 4439	1416.658921, 2430.955609, 2465.191362
K00220	-1.51076103932763e-05	-1e-50	-49.3808317876321	1	3574.019235	3844.588222	5	5	3121, 3142, 3201, 3214, 3247	3844.588222, 3694.392927, 3983.636167, 3574.019235, 4055.537229
K01798	-6.09811283396582e-05	-0.0060399305134301	-71.986556311165	0.999000000003158	1416.658921	3719.025042	205	3	2475, 4398, 4400	1416.658921, 3845.416488, 2223.35251
K01799	-0.000164178698189146	-0.00225317209293312	-319.320709055639	0.998995971764236	1416.658921	3670.002651	115	2	2475, 4399	1416.658921, 1903.089273
K01068	-6.02575341222571e-05	-0.00983039322197714	-50.1485229776932	0.999	1899.410578	3778.0892515	242	4	2477, 4379, 4389, 4399	1899.410578, 2901.49944, 2702.50514, 1903.089273
