trait	subtree	node	distance	cluster_size
7	3418	7357	281.6022458	55
7	3485	7424	167.7130722	22
7	3514	7453	134.4763238	5
7	3524	7463	45.456164	3
7	3532	7471	408.9252114	7
7	3539	7478	1358.82375	15
7	3583	7522	180.227233	2
7	3590	7529	133.1059252	3
7	3592	7531	321.218552	2
8	391	4330	219.5872744	5
8	411	4350	202.2753676	41
8	459	4398	72.502638	2
8	465	4404	127.833613	6
8	470	4409	208.1225936	12
8	490	4429	21.012537	2
8	1358	5297	43.68688	2
8	1660	5599	367.2390348	5
8	1691	5630	96.698081	3
8	1696	5635	106.7999764	3
8	1707	5646	127.549772	2
8	1739	5678	41.963961	2
8	1779	5718	277.937367	2
8	1788	5727	161.978923	2
8	1797	5736	186.2193936	7
8	1806	5745	159.9865994	3
8	1811	5750	140.684861	3
8	1834	5773	8.234217	4
8	1841	5780	2.070466	2
8	1854	5793	40.001804	4
8	1859	5798	26.678517	2
8	1864	5803	1.270278	2
8	1879	5818	26.538822	2
8	1919	5858	65.388711	3
8	1935	5874	8.6636198	5
8	1937	5876	104.494465	4
8	1943	5882	0.990327	2
8	1955	5894	59.3589404	7
8	1965	5904	24.810562	2
8	1968	5907	63.3050374	3
8	1974	5913	15.818827	2
8	1981	5920	197.183235	10
8	1991	5930	120.8287076	5
8	1997	5936	43.203263	3
8	2002	5941	583.8893388	46
8	2077	6016	1.145102	2
8	2094	6033	56.243724	4
8	2152	6091	84.773479	2
8	2226	6165	1.140116	2
8	2522	6461	151.740291	2
8	3222	7161	5.558526	2
8	3227	7166	32.430033	5
8	3234	7173	8.0633556	5
8	3241	7180	8.026962	2
8	3253	7192	167.8371772	11
8	3265	7204	72.0257718	13
8	3270	7209	96.251485	37
8	3304	7243	1.658392	3
8	3312	7251	85.675677	5
9	1	3940	4399.9999992	3939
10	626	4565	14.94962	2
10	2901	6840	1.07003	2
11	1	3940	4399.9999996	3939
12	1	3940	4399.9999984	3939
13	1	3940	4399.9999992	3939
14	73	4012	209.639002	3
14	77	4016	424.47683	4
14	610	4549	111.410295	2
14	646	4585	79.325542	3
14	769	4708	22.505644	3
14	949	4888	0.820706	2
14	977	4916	881.5932858	658
14	1574	5513	48.145077	2
14	1590	5529	68.884425	2
14	1622	5561	2.909623	3
14	1661	5600	93.1940164	4
14	1678	5617	52.222484	6
14	1705	5644	3.183996	2
14	1706	5645	211.5392202	3
14	1788	5727	161.978923	2
14	1797	5736	186.219394	7
14	1814	5753	199.268634	3
14	1826	5765	70.772685	6
14	1842	5781	106.1713524	4
14	1956	5895	1.776294	2
14	1965	5904	24.810562	2
14	1969	5908	5.629772	2
14	1975	5914	276.2220966	21
14	1995	5934	240.290169	6
14	2006	5945	55.79092	2
14	2008	5947	25.484828	2
14	2017	5956	122.918815	3
14	2226	6165	1.140116	2
14	2239	6178	181.528236	2
14	2272	6211	55.478898	2
14	2311	6250	333.699471	3
14	2438	6377	0.631659	2
14	2716	6655	8.352567	2
14	2838	6777	659.133936	3
14	2898	6837	27.20416	2
14	2900	6839	49.7838216	4
14	3128	7067	49.295573	2
14	3168	7107	0.624012	2
14	3170	7109	51.705775	2
14	3179	7118	11.73209	2
14	3222	7161	5.558526	2
14	3241	7180	8.026962	2
14	3375	7314	19.469318	2
14	3396	7335	4.227784	2
14	3400	7339	0.54522	2
14	3452	7391	15.744107	2
14	3464	7403	32.929326	2
14	3474	7413	95.295488	7
14	3487	7426	100.222643	5
14	3493	7432	40.997267	2
14	3510	7449	11.1171536	5
14	3516	7455	53.574274	2
14	3525	7464	1.392155	2
14	3532	7471	408.9252114	7
14	3545	7484	1184.214918	9
14	3555	7494	697.5105748	9
14	3564	7503	71.287359	3
14	3595	7534	167.389501	13
15	365	4304	49.938253	2
15	369	4308	100.0920546	9
15	447	4386	30.913114	4
15	477	4416	18.812504	2
15	585	4524	31.8127488	4
15	610	4549	111.410295	2
15	627	4566	31.191799	2
15	688	4627	64.0187092	7
15	719	4658	11.938372	3
15	802	4741	138.096709	3
15	896	4835	6.662638	2
15	898	4837	40.372706	2
15	901	4840	1.2126	2
15	945	4884	81.8237468	6
15	953	4892	9.944552	2
15	968	4907	134.155584	2
15	993	4932	258.137292	2
15	1002	4941	32.402455	4
15	1007	4946	1.149018	2
15	1016	4955	122.2956196	4
15	1023	4962	186.200164	8
15	1040	4979	5.739173	3
15	1102	5041	90.2616604	8
15	1122	5061	1.901146	2
15	1174	5113	48.364172	4
15	1233	5172	1.695762	2
15	1241	5180	38.029366	2
15	1358	5297	43.68688	2
15	1379	5318	1.5531	2
15	1455	5394	65.5805164	5
15	1471	5410	66.688961	2
15	1493	5432	11.144957	2
15	1520	5459	46.4889862	4
15	1537	5476	2.804794	2
15	1541	5480	0.840188	2
15	1542	5481	14.1856362	24
15	1565	5504	101.658049	2
15	1573	5512	6.375114	2
15	1587	5526	68.742166	3
15	1592	5531	327.35583	5
15	1598	5537	41.576308	2
15	1633	5572	1.575353	2
15	1637	5576	1132.2577376	694
15	2302	6241	185.118918	2
15	2307	6246	512.6966238	4
15	2833	6772	222.002251	3
15	2838	6777	659.133936	3
15	2846	6785	12.36869	3
15	2851	6790	484.719347	3
15	2861	6800	177.148685	2
15	2864	6803	464.1198432	3
15	2908	6847	439.520608	12
15	2958	6897	422.3154698	65
15	3117	7056	215.3287774	23
15	3188	7127	141.8303232	10
15	3198	7137	184.0072864	18
15	3224	7163	41.410199	2
15	3248	7187	161.013653	3
15	3272	7211	44.478237	4
15	3284	7223	50.3247206	10
15	3293	7232	19.3078444	10
15	3303	7242	2.530024	2
15	3399	7338	12.6075586	3
15	3423	7362	43.475986	2
15	3468	7407	27.038811	2
15	3549	7488	677.037384	2
15	3557	7496	172.782106	2
15	3583	7522	180.227233	2
15	3589	7528	0.896012	2
15	3590	7529	133.1059252	3
15	3598	7537	81.698543	2
15	3606	7545	2.444704	2
15	3610	7549	115.739323	2
15	3611	7550	182.2384534	13
16	72	4011	476.628866	2
16	100	4039	481.6297844	300
16	385	4324	103.100935	2
16	386	4325	92.800072	3
16	392	4331	81.60185	4
16	396	4335	196.845354	2
16	400	4339	252.943566	6
16	414	4353	96.85831	3
16	417	4356	57.870419	3
16	448	4387	13.735264	2
16	450	4389	2.780952	2
16	455	4394	132.2895206	6
16	470	4409	208.1225936	12
16	481	4420	273.9797718	5
16	485	4424	262.433539	4
16	489	4428	227.249171	5
16	501	4440	229.8964398	8
16	519	4458	38.826256	3
16	521	4460	65.563859	4
16	529	4468	185.940353	3
16	565	4504	193.7340962	44
16	606	4545	208.657062	6
16	631	4570	93.8291284	16
16	655	4594	12.639077	5
16	671	4610	44.499638	8
16	683	4622	38.7045512	5
16	719	4658	11.938372	3
16	774	4713	231.813116	3
16	778	4717	206.583377	6
16	788	4727	142.8309792	4
16	791	4730	272.311866	7
16	797	4736	260.768201	8
16	881	4820	83.715241	3
16	888	4827	358.796296	82
16	968	4907	134.155584	2
16	971	4910	97.466034	2
16	1362	5301	70.95881	7
16	1422	5361	114.4572284	20
16	1493	5432	11.144957	2
16	1552	5491	51.746596	2
16	1565	5504	101.658049	2
16	1568	5507	150.802149	5
16	1573	5512	6.375114	2
16	1576	5515	328.6717938	14
16	1591	5530	178.625792	2
16	1595	5534	1.483864	2
16	1606	5545	255.860946	4
16	1615	5554	87.161996	3
16	1629	5568	48.250776	2
16	1641	5580	85.589381	3
16	1673	5612	15.00633	3
16	1682	5621	25.867521	2
16	1701	5640	123.818119	2
16	1705	5644	3.183996	2
16	1722	5661	189.880084	3
16	1899	5838	15.746684	2
16	1905	5844	30.604011	2
16	2014	5953	188.523027	2
16	2018	5957	43.092325	2
16	2062	6001	76.425596	2
16	2065	6004	293.9601306	5
16	2093	6032	96.0358962	5
16	2097	6036	521.8034858	44
16	2139	6078	548.7700768	78
16	2217	6156	401.634069	12
16	2301	6240	252.5189226	4
16	2335	6274	261.2047	2
16	2344	6283	602.0846258	20
16	2367	6306	304.435917	2
16	2405	6344	196.978429	6
16	2426	6365	39.925062	2
16	2446	6385	50.155566	3
16	2452	6391	442.605032	50
16	2521	6460	338.326831	3
16	2524	6463	217.531286	2
16	2697	6636	57.6906184	6
16	2808	6747	23.0854678	3
16	2812	6751	127.131441	2
16	2823	6762	40.741766	2
16	2827	6766	172.9258	2
16	2828	6767	479.4351986	4
16	2837	6776	72.378586	2
16	2846	6785	12.36869	3
16	2857	6796	109.190181	2
16	2858	6797	432.9886848	7
16	3619	7558	384.408315	3
17	19	3958	44.4459422	3
17	24	3963	72.63961	2
17	27	3966	318.6982138	4
17	43	3982	238.641914	3
17	46	3985	169.563367	2
17	91	4030	1123.8691086	1694
17	1788	5727	161.978923	2
17	1797	5736	186.2193936	7
17	1805	5744	257.3598342	9
17	1814	5753	199.268634	3
17	1824	5763	75.318797	2
17	1827	5766	26.921373	5
17	1833	5772	75.6159864	10
17	1929	5868	1.15518	2
17	1951	5890	130.5978718	23
17	1984	5923	93.378757	5
17	1989	5928	2.328697	2
17	1997	5936	43.203263	3
17	2005	5944	148.79628	5
17	2017	5956	122.9188152	3
17	2077	6016	1.145102	2
17	2305	6244	1.616432	2
17	2322	6261	52.080483	3
17	2392	6331	440.497266	2
17	2635	6574	17.005803	2
17	2637	6576	1.091884	2
17	2647	6586	45.560431	2
17	2650	6589	1.064355	2
17	2680	6619	64.296465	2
17	2863	6802	242.106313	2
17	2925	6864	50.244133	4
17	2933	6872	40.807297	2
17	2942	6881	180.3829328	11
17	2954	6893	52.128327	2
17	2997	6936	56.291059	4
17	3024	6963	248.0973336	147
17	3138	7077	53.883275	3
17	3150	7089	52.696791	3
17	3155	7094	22.1643646	7
17	3181	7120	71.641007	2
17	3189	7128	44.983021	2
17	3191	7130	52.873168	2
17	3205	7144	13.3513026	4
17	3209	7148	26.82866	4
17	3217	7156	88.543351	3
17	3221	7160	122.6414384	27
17	3265	7204	72.0257718	13
17	3281	7220	38.987826	3
17	3286	7225	32.640381	4
17	3296	7235	12.863071	4
17	3300	7239	1.491719	4
17	3316	7255	76.007201	3
17	3340	7279	49.951255	2
17	3343	7282	4.395852	2
17	3351	7290	11.168846	2
17	3354	7293	21.3092756	14
17	3365	7304	7.895062	2
17	3367	7306	70.1714778	10
17	3378	7317	45.99546	5
17	3386	7325	4.304064	2
17	3393	7332	20.960403	9
17	3406	7345	1.030377	2
17	3407	7346	4.743101	2
17	3409	7348	16.2736554	5
17	3416	7355	6.904458	2
17	3432	7371	47.375874	2
17	3436	7375	9.2955304	3
17	3445	7384	20.308195	2
17	3446	7385	43.096867	4
17	3452	7391	15.744107	2
17	3457	7396	1.76297	5
17	3459	7398	72.285017	3
17	3464	7403	32.929326	2
17	3467	7406	44.9591116	3
17	3469	7408	244.7480592	51
17	3518	7457	144.5119078	15
17	3534	7473	13.526059	2
17	3537	7476	69.091267	2
17	3549	7488	677.037384	2
17	3588	7527	1.317407	2
17	3590	7529	133.1059256	3
17	3592	7531	321.218552	2
17	3604	7543	136.30653	4
17	3607	7546	210.6408378	5
18	1	3940	4399.999998	3939
19	2	3941	1334.6156954	79
19	347	4286	157.9479794	5
19	355	4294	100.928781	4
19	383	4322	170.482189	6
19	477	4416	18.812504	2
19	867	4806	112.813761	3
19	956	4895	120.506139	11
19	1122	5061	1.901146	2
19	2325	6264	182.3884978	7
19	2351	6290	33.057484	2
19	2392	6331	440.497266	2
19	2830	6769	61.726146	2
19	2975	6914	151.145045	3
19	3256	7195	50.875517	2
19	3259	7198	3.115104	2
19	3273	7212	1.997225	3
19	3276	7215	23.332008	2
19	3374	7313	24.660122	3
19	3454	7393	97.27126	11
19	3534	7473	13.526059	2
19	3551	7490	164.94146	2
20	169	4108	2.053484	2
20	279	4218	22.153289	4
20	295	4234	76.083931	2
20	301	4240	7.547107	3
20	313	4252	314.4567172	47
20	367	4306	138.5003784	11
20	394	4333	0.928492	2
20	424	4363	2.15603	2
20	477	4416	18.812504	2
20	479	4418	69.991058	2
20	480	4419	137.629678	2
20	490	4429	21.012537	2
20	524	4463	545.1409976	8
20	531	4470	633.9596772	358
20	875	4814	192.6124016	11
20	891	4830	147.456675	2
20	893	4832	101.2376224	5
20	898	4837	40.372706	2
20	947	4886	63.0552546	4
20	955	4894	1.577091	2
20	966	4905	241.0792636	9
20	975	4914	177.519132	2
20	977	4916	881.5932854	658
20	1953	5892	1.491662	5
20	1965	5904	24.810562	2
20	1968	5907	63.3050376	3
20	2392	6331	440.497266	2
20	3111	7050	0.573459	2
20	3160	7099	2.709633	2
20	3163	7102	40.5147538	4
21	2	3941	1334.615696	79
21	225	4164	7.048498	4
21	229	4168	2.811618	2
21	243	4182	2.636565	3
21	291	4230	86.402787	2
21	327	4266	90.691553	13
21	347	4286	157.9479796	5
21	357	4296	57.144386	2
21	358	4297	190.907499	2
21	359	4298	338.0463176	24
21	382	4321	445.4635646	119
21	500	4439	396.0262984	25
21	531	4470	633.9596758	358
21	875	4814	192.612402	11
21	888	4827	358.7962962	82
21	936	4875	205.1980322	19
21	955	4894	1.577091	2
21	968	4907	134.155584	2
21	972	4911	121.210318	3
21	974	4913	303.867133	4
21	977	4916	881.5932862	658
21	1554	5493	521.205707	3
21	1599	5538	785.5765412	39
21	1657	5596	278.099949	3
21	1680	5619	40.9667396	4
21	1690	5629	303.32286	11
21	1703	5642	315.0584226	6
21	1712	5651	558.3367644	6
21	1785	5724	525.6454084	9
21	1797	5736	186.219394	7
21	1806	5745	159.9865998	3
21	1809	5748	154.792868	3
21	1814	5753	199.268634	3
21	1821	5760	189.6584724	27
21	1935	5874	8.6636196	5
21	1951	5890	130.5978716	23
21	1970	5909	254.944326	6
21	1975	5914	276.222097	21
21	1995	5934	240.290169	6
21	2002	5941	583.8893384	46
21	2230	6169	306.685031	3
21	2235	6174	223.190987	2
21	2242	6181	57.289122	3
21	2251	6190	243.978215	2
21	2260	6199	20.688435	2
21	2264	6203	78.5313316	5
21	2270	6209	163.556423	5
21	2276	6215	226.644015	3
21	2279	6218	209.938919	2
21	2280	6219	341.529814	5
21	2288	6227	1032.4115836	19
21	2306	6245	1060.8821288	527
21	2831	6770	1288.8247262	10
21	2842	6781	819.9204862	4
21	2866	6805	1229.127239	40
21	2921	6860	123.242935	2
21	2925	6864	50.244133	4
21	2929	6868	417.0431314	30
21	2962	6901	279.7535144	14
21	2997	6936	56.291059	4
21	3003	6942	168.5842876	20
21	3023	6962	445.4137564	193
21	3143	7082	225.085504	38
21	3181	7120	71.641007	2
21	3188	7127	141.8303222	10
21	3198	7137	184.0072868	18
21	3224	7163	41.410199	2
21	3248	7187	161.013653	3
21	3266	7205	1.698645	10
21	3273	7212	1.997225	3
21	3276	7215	23.332008	2
21	3278	7217	61.894186	4
21	3286	7225	32.640381	4
21	3299	7238	4.103022	2
21	3300	7239	1.491719	4
21	3303	7242	2.530024	2
21	3305	7244	83.529357	5
21	3318	7257	204.713302	13
21	3330	7269	192.0137356	107
21	3416	7355	6.904458	2
21	3437	7376	0.792427	2
21	3445	7384	20.308195	2
21	3447	7386	37.20252	3
21	3454	7393	97.27126	11
21	3467	7406	44.9591112	3
21	3469	7408	244.7480594	51
21	3518	7457	144.5119078	15
21	3532	7471	408.9252112	7
21	3541	7480	930.6392022	4
21	3545	7484	1184.214918	9
21	3573	7512	554.8433286	7
21	3579	7518	863.6874932	33
21	3618	7557	1262.652684	9
22	56	3995	137.25328	11
22	68	4007	1.628989	2
22	71	4010	975.4001236	5
22	165	4104	5.711027	2
22	220	4159	26.37139	2
22	221	4160	25.890927	2
22	282	4221	1.932223	3
22	287	4226	10.367345	3
22	318	4257	210.381445	24
22	363	4302	76.49884	4
22	380	4319	84.176498	2
22	382	4321	445.4635646	119
22	506	4445	31.0750772	3
22	514	4453	12.012427	2
22	518	4457	42.6895746	4
22	522	4461	29.35299	2
22	542	4481	194.7376762	4
22	875	4814	192.612402	11
22	942	4881	34.6297556	4
22	946	4885	33.561855	2
22	950	4889	11.962593	3
22	974	4913	303.867133	4
22	1358	5297	43.68688	2
22	1555	5494	334.290561	2
22	1585	5524	45.160528	2
22	1587	5526	68.742166	3
22	1637	5576	1132.2577386	694
22	2303	6242	1.021377	2
22	2311	6250	333.699471	3
22	2830	6769	61.726146	2
22	2838	6777	659.133936	3
22	2852	6791	14.776099	2
22	2888	6827	161.541174	2
22	2905	6844	1111.8279788	752
22	3538	7477	1414.4926734	36
22	3576	7515	36.825152	3
22	3579	7518	863.6874934	33
22	3611	7550	182.2384534	13
23	5	3944	986.9035546	67
23	86	4025	1415.9924578	3010
23	3128	7067	49.295573	2
24	291	4230	86.402787	2
24	328	4267	83.8218496	11
24	340	4279	134.221036	2
24	383	4322	170.482189	6
24	392	4331	81.6018504	4
24	400	4339	252.943566	6
24	484	4423	69.094421	2
24	485	4424	262.433539	4
24	488	4427	355.294926	13
24	529	4468	185.940353	3
24	646	4585	79.325542	3
24	732	4671	7.8871572	6
24	762	4701	138.147795	3
24	779	4718	23.955782	5
24	804	4743	462.814193	78
24	936	4875	205.1980324	19
24	974	4913	303.867133	4
24	1029	4968	1.199371	2
24	1035	4974	101.0233924	4
24	1632	5571	60.362753	4
24	1641	5580	85.589381	3
24	1649	5588	2.470138	3
24	1657	5596	278.099949	3
24	1666	5605	620.210266	2
24	1691	5630	96.698081	3
24	1707	5646	127.549772	2
24	1710	5649	68.4951488	3
24	1715	5654	455.846028	3
24	1721	5660	87.259177	2
24	2048	5987	105.9943198	3
24	2060	5999	195.783496	2
24	2062	6001	76.425596	2
24	2065	6004	293.960131	5
24	2072	6011	47.507803	2
24	2074	6013	114.069059	5
24	2140	6079	210.558982	2
24	2169	6108	62.118983	2
24	2206	6145	1.463832	4
24	2212	6151	697.207019	4
24	2216	6155	708.1864638	18
24	2311	6250	333.699471	3
24	2316	6255	579.4514448	16
24	2838	6777	659.133936	3
24	2890	6829	222.014918	2
24	2897	6836	42.9548688	3
24	3542	7481	180.354031	3
24	3611	7550	182.2384532	13
25	1	3940	4399.9999988	3939
26	129	4068	15.842057	15
26	146	4085	9.3644836	8
26	152	4091	1.370753	4
26	166	4105	30.618312	51
26	217	4156	16.183285	4
26	226	4165	5.272878	3
26	229	4168	2.811618	2
26	242	4181	18.883203	2
26	243	4182	2.636565	3
26	266	4205	50.2578372	3
