trait	subtree	node	distance	cluster_size
8	814	445	464.031474	2
8	821	452	8.980412	2
8	829	2844	999.19017375	4
8	833	459	512.473189	2
8	877	2867	424.7372468	5
8	994	544	61.4064208181818	11
8	1004	551	20.286946	3
8	1015	2930	846.308486	2
8	1020	2933	849.713415	2
8	1031	565	893.692113	2
8	1063	583	974.8427374	5
8	1067	2955	1876.30918213793	783
8	1664	3230	129.740201	2
8	1674	912	225.7045346	5
8	1694	3244	18.37215875	4
8	1698	925	111.364357333333	3
8	1706	930	94.394037	3
8	1732	3262	425.248508	2
8	1733	3263	579.514365284768	151
8	1890	1025	166.984472	2
8	1897	1031	15.829403	2
9	166	2570	136.937809208333	24
9	247	117	5.106937	5
9	249	118	5.002325	2
9	253	121	21.0964448181818	11
9	309	159	28.997455	2
9	445	218	19.53772	2
9	458	231	106.0272325	10
9	792	431	771.881379727273	11
9	871	2865	5.706613	2
9	900	493	453.878923	3
9	912	2883	529.840219157895	19
9	1014	2929	1170.04141177778	9
9	1735	944	488.532882740385	104
9	1832	3311	10.882759	2
9	1835	995	24.656262	2
9	1840	3315	184.653235	4
9	1851	3321	133.8678534	5
9	1888	1023	4.439332	2
9	1903	1035	129.817329	4
10	29	4	211.9035165	12
10	44	2505	421.031756428571	21
10	116	48	140.008129	2
10	134	2552	100.419959285714	56
10	165	68	631.16868924	25
10	348	2638	42.652257	3
10	351	183	321.902923440678	59
10	394	2660	401.001932409091	22
10	413	2679	174.369958	4
10	416	2682	269.848917	3
10	420	2686	577.839917	3
10	424	2690	401.4742728125	32
10	469	240	96.7224275	4
10	497	2713	17.066202	2
10	503	260	4.351721	2
10	653	2772	176.2441355	2
10	657	2774	109.51387	3
10	676	2783	41.9843485	4
10	739	399	448.725468	3
10	774	2824	259.863022	6
10	793	432	421.089506625	8
10	913	502	163.488427	2
10	915	2884	386.2946056	5
10	922	2887	282.923088333333	3
10	924	509	281.456125	3
10	928	512	232.202207	3
10	1015	2930	846.308486	2
10	1017	558	904.895602	3
10	1021	560	838.807379	2
10	1484	805	154.703393	2
10	1515	825	187.90586736	75
10	1583	864	67.677038	2
10	1666	3231	83.3857113333333	3
10	1744	948	25.436394	3
11	17	2489	953.417487024272	206
11	348	2638	42.652257	3
11	353	2641	123.588962	2
11	361	2645	4.905346	9
11	363	190	14.061522	15
11	374	2652	17.278384	2
11	381	2655	37.9356245	4
11	384	200	40.8904444	10
11	393	2659	45.884827	2
11	394	2660	401.001932409091	22
11	412	2678	397.406511	2
11	416	2682	269.848917	3
11	418	2684	95.878314	2
11	420	2686	577.839917	3
11	447	220	11.232487	6
11	453	226	270.59183	2
11	457	230	404.3217998125	16
11	481	246	861.212977485714	35
11	512	265	900.065081	9
11	615	2759	47.8655518235294	17
11	676	2783	41.9843485	4
11	765	2820	79.23808575	4
11	768	419	181.149942	7
11	783	426	995.57737655	20
11	828	457	1023.54923185714	7
11	835	460	1230.54841575	8
11	843	463	972.85493	2
11	868	476	451.025664	5
11	874	481	1579.069885625	8
11	924	509	281.456125	3
11	1014	2929	1170.04141177778	9
11	1025	562	441.386667	3
11	1666	3231	83.3857113333333	3
