Name	GenomeName	Genome
2515985754		2515154182
2515990936		2515154183
2515996066		2515154184
2516001050		2515154185
2516006218		2515154186
2516011459		2515154187
2516016592		2515154188
2558308050		2515154189
2516029493		2515154190
2558308182		2515154191
2516041996		2515154193
2516047169		2515154194
2516049460		2515154195
2516052547		2515154196
2516062686		2515154197
2558308059		2515154199
2516076948		2515154200
2516087552		2515154202
2516092538		2515154203
2516124121		2515154209
2516128094		2515154210
2558308104		2515154211
2516136062		2515154212
2516136921		2515154213
2516142116		2515154214
2516144612		2516143000
2516158118		2516143002
2516165556		2516143004
2516173694		2516143008
2516189872		2516143012
2516195922		2516143014
2516204972		2516143018
2516216466		2516143022
2516226788		2516143025
2516236146		2516143028
2516391088		2516143104
2516391404		2516143105
2516423938		2516143113
2516451184		2516143117
2516456137		2516143118
2516477419		2516143128
2516511983		2516493005
2516516619		2516493006
2516543396		2516493010
2516552796		2516493012
2516572510		2516493016
2516577516		2516493017
2516578303		2516493018
2516582731		2516493019
2516591643		2516493021
2516598090		2516493022
2516601867		2516493023
2516605841		2516493024
2516608594		2516493025
2516616489		2516493026
2516620236		2516493027
2516620966		2516493028
2516626029		2516493029
2516628666		2516493030
2516631929		2516493031
2516634913		2516493032
2516867864		2516653041
2516872650		2516653042
2516894063		2516653046
2516904534		2516653047
2516914337		2516653048
2516918594		2516653049
2516924205		2516653050
2516937045		2516653053
2516941137		2516653054
2516946843		2516653055
2516959679		2516653058
2516989386		2516653063
2517012189		2516653072
2517015156		2516653073
2517019509		2516653074
2517029285		2516653075
2517031811		2516653076
2517037323		2516653077
2517047387		2516653079
2517053449		2516653080
2517062088		2516653082
2517073432		2516653084
2517077632		2516653085
2517096425		2517093000
2517103102		2517093001
2545824004		2517093002
2558308190		2517093003
2517116843		2517093004
2517120057		2517093005
2517121994		2517093006
2517128266		2517093007
2517128649		2517093008
2517131765		2517093009
2517133185		2517093010
2517138668		2517093011
2517145196		2517093012
2517149327		2517093013
2517153056		2517093014
2517155882		2517093015
2517160735		2517093016
2517164309		2517093017
2517170340		2517093018
2517174261		2517093019
2517234087		2517093040
2517235790		2517093041
2517241022		2517093042
2517244912		2517093043
2517248842		2517093044
2517270461		2517093047
2517274009		2517093048
2517277781		2517093049
2517281623		2517093050
2517344235		2517287015
2517347662		2517287016
2517354944		2517287017
2517361909		2517287019
2517366366		2517287020
2517375670		2517287021
2517376691		2517287022
2517379993		2517287023
2517384291		2517287024
2517389975		2517287025
2517398572		2517287027
2517403455		2517287028
2517408291		2517287029
2517414838		2517287030
2517418625		2517287031
2517427879		2517287033
2517431280		2517287034
2517450979		2517434007
2517455889		2517434008
2517464250		2517434009
2517467837		2517434010
2545824017		2517434011
