Trait	Anc	Des	Len	S.Anc	S.Des	R.Dist
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4296	4297	37.003763	Off	On	3978.030601
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4300	4312	110.738799	Off	On	3886.543223
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4327	4328	92.540061	Off	On	3268.844608
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4361	4362	81.149827	Off	On	3904.211986
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4356	4366	38.114461	Off	On	3648.299236
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4374	4375	106.359902	Off	On	3941.379128
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4393	4394	380.429706	Off	On	3634.81775
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	2473	4399	1903.089273	Off	On	1903.089273
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4402	4403	284.459043	Off	On	3337.348937
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4413	4421	83.520147	Off	On	3714.057985
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4422	4425	65.196424	Off	On	3690.892653
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4438	4439	51.458634	Off	On	2465.191362
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4440	4441	635.248371	Off	On	3443.105539
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4475	4477	63.80829	Off	On	3647.535592
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4481	4482	81.764763	Off	On	3811.122943
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4488	4489	70.596128	Off	On	3768.57894
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4490	4492	242.065774	Off	On	3409.194817
X1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation	4468	4499	492.209815	Off	On	3028.559449
ABC.transporters	2473	2474	938.933978	Off	On	938.933978
ABC.transporters	2490	2491	69.832471	Off	On	3390.128066
ABC.transporters	2494	2496	412.39875	Off	On	3863.659566
ABC.transporters	2493	2501	428.830496	Off	On	3859.292944
ABC.transporters	2492	2512	23.704836	Off	On	3424.929822
ABC.transporters	2514	2515	388.630064	Off	On	4060.998896
ABC.transporters	2537	2538	239.761028	Off	On	3767.396494
ABC.transporters	2537	2541	34.231231	Off	On	3561.866697
ABC.transporters	2489	2635	224.396634	Off	On	3342.175608
ABC.transporters	2792	2793	40.027781	Off	On	3948.155981
ABC.transporters	3122	3123	515.722235	Off	On	3651.588161
ABC.transporters	3122	3135	24.472074	Off	On	3160.338
ABC.transporters	3301	3302	285.999369	Off	On	3358.005653
ABC.transporters	3307	3308	577.577037	Off	On	3418.225079
ABC.transporters	3307	3310	298.750366	Off	On	3139.398408
ABC.transporters	3376	3377	425.832433	Off	On	3952.678337
ABC.transporters	3375	3382	95.120019	Off	On	3233.707336
ABC.transporters	3496	3497	1192.518526	Off	On	3629.80979
ABC.transporters	3499	3500	1513.685964	Off	On	4038.735084
ABC.transporters	3499	3502	397.97078	Off	On	2923.0199
ABC.transporters	3529	3530	524.672865	Off	On	3452.652155
ABC.transporters	3529	3535	168.37443	Off	On	3096.35372
ABC.transporters	3718	3719	709.016292	Off	On	3528.522831
ABC.transporters	3718	3723	80.464242	Off	On	2899.970781
ABC.transporters	4141	4142	550.923472	Off	On	3452.03869
ABC.transporters	4155	4156	146.462165	Off	On	3223.301455
ABC.transporters	2473	4399	1903.089273	Off	On	1903.089273
ABC.transporters	4485	4486	47.86925	Off	On	3541.035514
ABC.transporters	4487	4488	111.81231	Off	On	3697.982812
ABC.transporters	4490	4491	686.642081	Off	On	3853.771124
ABC.transporters	4490	4492	242.065774	Off	On	3409.194817
Adipocytokine.signaling.pathway	2473	2474	938.933978	Off	On	938.933978
Adipocytokine.signaling.pathway	2477	2478	104.490708	Off	On	2003.901286
Adipocytokine.signaling.pathway	2494	2496	412.39875	Off	On	3863.659566
Adipocytokine.signaling.pathway	2493	2501	428.830496	Off	On	3859.292944
Adipocytokine.signaling.pathway	2538	2539	150.649827	Off	On	3918.046321
Adipocytokine.signaling.pathway	2543	2544	92.355131	Off	On	4001.291792
Adipocytokine.signaling.pathway	2596	2597	122.650792	Off	On	3996.323237
Adipocytokine.signaling.pathway	2665	2666	70.382309	Off	On	3438.531338
Adipocytokine.signaling.pathway	2676	2677	58.132755	Off	On	3780.157399
Adipocytokine.signaling.pathway	2682	2683	6.195247	Off	On	3997.996212
Adipocytokine.signaling.pathway	2684	2685	5.235994	Off	On	4011.433027
Adipocytokine.signaling.pathway	2686	2687	17.703926	Off	On	4040.075156
Adipocytokine.signaling.pathway	2744	2745	3.485129	Off	On	4050.762286
Adipocytokine.signaling.pathway	2750	2755	3.041334	Off	On	4061.089072
Adipocytokine.signaling.pathway	2756	2757	2.497497	Off	On	4065.816865
Adipocytokine.signaling.pathway	2680	2770	82.330588	Off	On	4044.834953
Adipocytokine.signaling.pathway	2674	2796	183.64075	Off	On	3821.623696
Adipocytokine.signaling.pathway	2806	2807	41.009871	Off	On	4046.495383
Adipocytokine.signaling.pathway	2673	2819	84.345807	Off	On	3705.766511
Adipocytokine.signaling.pathway	2954	2955	623.435189	Off	On	4032.631099
Adipocytokine.signaling.pathway	2976	2977	511.083809	Off	On	4058.435646
Adipocytokine.signaling.pathway	2993	2994	521.183769	Off	On	3001.128439
Adipocytokine.signaling.pathway	2995	2996	266.461769	Off	On	3434.49368
Adipocytokine.signaling.pathway	2998	3012	57.94038	Off	On	3862.596865
Adipocytokine.signaling.pathway	3064	3103	111.765824	Off	On	2984.140287
Adipocytokine.signaling.pathway	3105	3106	285.220993	Off	On	4067.271018
Adipocytokine.signaling.pathway	3104	3114	226.220222	Off	On	3338.761615
Adipocytokine.signaling.pathway	3122	3123	515.722235	Off	On	3651.588161
Adipocytokine.signaling.pathway	3135	3136	39.697099	Off	On	3200.035099
Adipocytokine.signaling.pathway	3154	3155	168.589292	Off	On	4036.985131
Adipocytokine.signaling.pathway	3176	3177	78.374099	Off	On	3937.570177
