trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
K00872; -0.000117395378466995; -0.000561037378803404; -687.06552259218; 0.996058169802661; 2449.429427; 4177.997748; 39; 2; 3941, 4019; 3065.384304, 2449.429427
K00873; -0.00380306480694081; -0.00027624027663452; -574.632628835215; 0.999000002508861; 2743.244779; 4231.41571; 281; 4; 3941, 4020, 7559, 7561; 3065.384304, 2743.244779, 4388.360577, 4396.460669
K00874; -0.00178108931448313; -0.00244176382939994; -1860.40200087686; 0.998999999741714; 2766.855443; 4273.9800315; 352; 4; 3941, 4021, 7550, 7557; 3065.384304, 2766.855443, 4217.761546, 3137.347316
K00875; -7.68836987798015e-05; -0.010416514480543; -327.459488847879; 0.999; 2743.244779; 4225.3225835; 394; 4; 3941, 4020, 7558, 7560; 3065.384304, 2743.244779, 4015.591685, 3728.445634
K00876; -0.000569702560834378; -0.000681232544838849; -1153.23923084571; 0.99901430956648; 2449.429427; 4266.01507; 101; 2; 3942, 4019; 3306.421142, 2449.429427
K00878; -0.000986967764350624; -0.00194195329038877; -1374.01801619921; 0.999000008265033; 2449.429427; 4265.088979; 261; 2; 3941, 4019; 3065.384304, 2449.429427
K00879; -0.000128037079904544; -0.0137891603958952; -169.957500620885; 0.999; 2449.429427; 4259.012751; 457; 4; 3944, 4010, 4016, 4019; 3413.096445, 3424.599876, 3975.52317, 2449.429427
K00880; -0.000382329620354685; -0.00965121147840674; -602.537238470597; 0.999; 2449.429427; 4240.7930415; 390; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00881; -8.97796489240613e-05; -0.0119471454982157; -166.205033593685; 0.999; 2449.429427; 4238.0652105; 424; 4; 3943, 4014, 4016, 4019; 3335.837017, 3870.326616, 3975.52317, 2449.429427
K00882; -0.000537957593723253; -0.00205102805342939; -1427.88963412833; 0.998997688863724; 2449.429427; 4230.037142; 185; 2; 3941, 4019; 3065.384304, 2449.429427
K00883; -0.000225962476625974; -0.00347550127211341; -945.925752081579; 0.99899994853592; 2449.429427; 4172.750828; 171; 3; 3943, 4016, 4019; 3335.837017, 3975.52317, 2449.429427
K00884; -6.92645580950313e-05; -0.00454796557355552; -465.073403947314; 0.998999989230936; 2449.429427; 4202.316017; 179; 4; 3944, 4012, 4014, 4019; 3413.096445, 4190.360998, 3870.326616, 2449.429427
K00885; -5.58946549547106e-05; -0.00682831413974601; -192.533576694849; 0.998999999999641; 2449.429427; 4203.021571; 317; 2; 3941, 4019; 3065.384304, 2449.429427
K00886; -0.000226177504186776; -0.00135561728548735; -743.65162590873; 0.99900384267805; 2449.429427; 4163.2361975; 102; 2; 3941, 4019; 3065.384304, 2449.429427
K00887; -9.25784802446503e-05; -0.00647107781930712; -375.229814755511; 0.9989999999974; 2449.429427; 4203.115138; 287; 3; 3943, 4014, 4019; 3335.837017, 3870.326616, 2449.429427
K00891; -0.00148528936707477; -0.0003222581925826; -765.230993595793; 0.999006269573955; 2984.007542; 4218.471764; 133; 11; 3944, 4014, 4016, 4025, 6844, 7479, 7485, 7512, 7518, 7550, 7557; 3413.096445, 3870.326616, 3975.52317, 2984.007542, 3288.172019, 3290.274617, 3307.380468, 3845.156671, 3536.312507, 4217.761546, 3137.347316
K00892; -3.86496678843255e-06; -0.00168298541824214; -60.4009736390235; 0.999012587268952; 2449.429427; 4034.494601; 68; 4; 3962, 3993, 4010, 4019; 4208.219052, 3956.534353, 3424.599876, 2449.429427
K00895; -5.59071375942336e-05; -0.000465016961379372; -219.659054476522; 0.999437554513126; 3074.062284; 4063.863274; 29; 20; 4473, 4873, 4914, 4967, 5252, 5271, 5387, 5548, 5570, 5605, 5657, 5815, 6072, 6096, 6245, 6772, 6779, 6862, 7493, 7509; 3804.993465, 4084.591133, 4222.480867, 4301.975433, 4318.769906, 4319.231915, 4072.286537, 3893.456438, 3799.627634, 3779.789733, 3693.923496, 4318.080059, 4158.02762, 4150.518667, 3339.11787, 4177.997748, 3074.062284, 3893.345608, 3422.85993, 3971.701166
K00899; -0.000467600841209929; -0.00475275371372163; -878.597155787205; 0.998999999953985; 2449.429427; 4211.57525; 298; 2; 3941, 4019; 3065.384304, 2449.429427
K00901; -0.000556000721910396; -0.000938570797712375; -1199.20478258968; 0.998981896856636; 2449.429427; 4235.0577745; 122; 5; 3992, 4009, 4011, 4014, 4019; 4208.911659, 4350.645122, 3923.371133, 3870.326616, 2449.429427
K00912; -3.155506338679e-05; -0.000249490377123503; -417.84258567345; 0.994554729166265; 2449.429427; 4211.9758625; 18; 1; 4019; 2449.429427
K00917; -0.000345015387548849; -0.00519492394492584; -783.989307212625; 0.998999999958129; 2449.429427; 4207.242478; 258; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00918; -0.000126238436266499; -0.00497279144320573; -277.951290400644; 0.998999999804732; 2449.429427; 4164.99193; 251; 6; 3944, 4011, 4012, 4014, 4016, 4019; 3413.096445, 3923.371133, 4190.360998, 3870.326616, 3975.52317, 2449.429427
K00919; -0.000385795735373609; -0.000269213565263878; -691.535742668274; 0.998974937860654; 2449.429427; 4263.222151; 53; 2; 3966, 4019; 4081.301786, 2449.429427
K00925; -0.00247688934240028; -0.0011475693070109; -1609.44447361755; 0.99900001417161; 2960.419703; 4295.48486; 309; 5; 3943, 4024, 7477, 7520, 7550; 3335.837017, 2960.419703, 2985.507326, 4053.398212, 4217.761546
K00926; -0.00108691408986206; -0.0043644134084556; -1485.84536715581; 0.998999999987854; 2743.244779; 4253.865574; 309; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
K00927; -0.109947083469594; -0.00238178141487783; -393.787919572494; 0.999; 2449.429427; 4330.008942; 953; 3; 3943, 4016, 4019; 3335.837017, 3975.52317, 2449.429427
