trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
Glycerophospholipid.metabolism	-0.00104301497747397	-1.65260738686245e-05	-42.0415207789633	0.998813176321495	938.933978	3590.0631385	82	2	2474, 4400	938.933978, 2223.35251
Glycine..serine.and.threonine.metabolism	-4.44476524210328e-06	-7.16073136498606e-06	-29.7540598195435	0.0344648276950534	4063.341435	4065.878938	2	2	3735, 3744	4068.416441, 4063.341435
Glycolysis...Gluconeogenesis	-0.00106838408374815	-1.06242213982823e-05	-24.4945156727875	0.99888127795468	938.933978	3617.3605105	58	3	2474, 4401, 4438	938.933978, 2430.955609, 2413.732728
Glycosaminoglycan.degradation	-0.000358199100728258	-0.00121863223606683	-569.671155257198	0.998977986677574	938.933978	3645.8427595	102	6	2474, 4413, 4433, 4462, 4472, 4473	938.933978, 3630.537838, 2777.979482, 3991.060063, 3834.46326, 2779.358775
Glycosphingolipid.biosynthesis...ganglio.series	-0.000250922338723654	-0.00127835862181841	-475.179927446954	0.999015495759155	938.933978	3556.7452085	92	2	2474, 4400	938.933978, 2223.35251
Glycosphingolipid.biosynthesis...globo.series	-0.000330931219242932	-0.000910909092376701	-585.876037647813	0.99878715661976	938.933978	3673.573647	94	2	2474, 4399	938.933978, 1903.089273
Glycosphingolipid.biosynthesis...lacto.and.neolacto.series	-3.05296867064239e-05	-0.00381488749887303	-55.1287347828299	0.998999929990953	938.933978	3638.660935	144	4	2474, 4412, 4433, 4437	938.933978, 3309.677093, 2777.979482, 2346.177378
Glycosylphosphatidylinositol.GPI..anchor.biosynthesis	-8.04463925397962e-06	-4.27317567537923e-06	-21.8517384985564	0.999999966902957	3903.142369	3903.142369	1	1	2985	3903.142369
Glycosyltransferases	-0.000488778188160438	-2.16944333524579e-05	-74.6928365016148	0.997022704758827	938.933978	3825.3376585	24	2	2474, 4399	938.933978, 1903.089273
Glyoxylate.and.dicarboxylate.metabolism	-0.00066087158206471	-2.18350755503002e-05	-82.7205824446207	0.998133895691676	938.933978	3547.351837	43	2	2474, 4399	938.933978, 1903.089273
GnRH.signaling.pathway	-6.28052036674079e-05	-0.00279841241449841	-126.212229620676	0.999000571856027	938.933978	3618.2524055	122	2	2474, 4400	938.933978, 2223.35251
Hepatitis.C	-4.72946473460487e-06	-2.30086531275622e-05	-16.6999305737394	0.997590541280418	1903.089273	1903.089273	1	1	4399	1903.089273
Histidine.metabolism	-0.00122346190854518	-4.1257479584699e-05	-100.019098868108	0.999026032390527	938.933978	3705.766511	85	2	2474, 4399	938.933978, 1903.089273
Homologous.recombination	-0.00113692107450454	-1.56829797227091e-06	-10.1725983858975	0.999308283297392	1416.658921	3653.68348	61	6	2475, 4398, 4411, 4412, 4434, 4437	1416.658921, 3845.416488, 4040.420582, 3309.677093, 3891.622512, 2346.177378
Huntington.s.disease	-0.000814772848976	-8.29395404765299e-05	-311.608734773089	0.999743982462699	1903.089273	3706.597516	107	34	2483, 3346, 3358, 3500, 3502, 3529, 3545, 3550, 3559, 3596, 3611, 3619, 3628, 3632, 3655, 3678, 3687, 3697, 3716, 3719, 3735, 3773, 3776, 3778, 4100, 4109, 4112, 4120, 4125, 4155, 4327, 4390, 4393, 4399	2175.24293, 2492.126572, 2297.730939, 4038.735084, 2923.0199, 2927.97929, 4061.727572, 3641.869502, 3595.999016, 3517.37658, 4023.276141, 4067.18934, 4065.453728, 3652.862392, 3796.496662, 4038.152432, 3176.292007, 3405.920958, 4063.36961, 3528.522831, 4068.416441, 4052.209154, 4064.63373, 2928.396004, 3646.467303, 3635.689328, 3063.665931, 3032.214709, 2530.139035, 3076.83929, 3176.304547, 3611.519581, 3254.388044, 1903.089273
Hypertrophic.cardiomyopathy..HCM.	-6.94092258915456e-06	-0.0020457002244078	-89.7866116972238	0.99569281581232	938.933978	3500.651433	81	2	2474, 4399	938.933978, 1903.089273
Indole.alkaloid.biosynthesis	-4.00204482661662e-05	-0.00184078979366817	-191.473758079394	0.997981210583165	938.933978	3572.07189	67	2	2474, 4400	938.933978, 2223.35251
Influenza.A	-7.14373852751858e-05	-0.000171437985133734	-197.469461217874	0.998758730964184	1903.089273	3673.789949	23	7	2484, 3347, 3356, 3390, 4133, 4209, 4399	2366.743085, 2670.690583, 3392.957032, 3780.14404, 2830.307816, 3700.434819, 1903.089273
Inorganic.ion.transport.and.metabolism	-0.00131458630785009	-3.92776003369657e-05	-91.7204392585593	0.998899844232067	938.933978	3625.696229	105	2	2474, 4399	938.933978, 1903.089273
